Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,DayOfWeek,Week,Daily_Return,Cumulative_Return,Price_Change,Up_Down,SMA_20,SMA_50,EMA_20,BB_Mid,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,Volume_MA
2025-05-28,3015.4734292634766,3020.5328789513123,2969.1456784430707,2973.907470703125,1491995,0.0,0.0,2025,May,Q2,Wednesday,22,-1.3816706345139096,106.41439582167256,-41.565958560351646,Down,3027.1893798828123,,3003.095779415027,3027.1893798828123,3156.001941108604,2898.3768186570205,47.34064978940191,34.54077740486218,50.04041734291742,-15.499639938055239,2741928.65
2025-05-29,2975.097767082866,3004.759365181861,2963.391765442311,2985.01806640625,2093429,0.0,0.0,2025,May,Q2,Thursday,22,0.3736026023868799,106.8119627737766,9.920299323383915,Up,3031.1674072265623,,3001.3740924618105,3031.1674072265623,3148.5587818672,2913.7760325859244,52.15577481311542,29.1512354755273,45.862580969439406,-16.711345493912106,2712112.45
2025-05-30,2981.0501487209067,2993.351223837699,2933.432708741338,2953.074951171875,3700191,0.0,0.0,2025,May,Q2,Friday,22,-1.0701146366203451,105.66895232647295,-27.97519754903169,Down,3034.123669433594,,2996.7741742437215,3034.123669433594,3139.308654564919,2928.938684302269,38.01311379217767,22.04828334153399,41.09972144385832,-19.051438102324333,2753717.2
2025-06-02,2953.0749201156655,3014.283122006738,2938.6904852731127,3001.783447265625,2967741,0.0,0.0,2025,June,Q2,Monday,23,1.6494161814085029,107.41187312487064,48.70852714995954,Up,3034.3419189453125,,2997.2512478648555,3034.3419189453125,3139.2239076719925,2929.4599302186325,47.376323779900765,20.117607901108386,36.90329873530833,-16.785690834199947,2699644.4
2025-06-03,3017.7551035127403,3040.3734347788195,3002.8746542843737,3022.21923828125,3204094,0.0,0.0,2025,June,Q2,Tuesday,23,0.6807883171666029,108.14312060835458,4.464134768509666,Up,3033.255651855469,,2999.629151714036,3033.255651855469,3138.1688978892057,2928.342405821732,44.51712519959554,20.005915509986608,33.52382209024399,-13.517906580257382,2575688.35
2025-06-04,3020.8305540015576,3062.39651280439,3015.870404158985,3029.064208984375,1584653,0.0,0.0,2025,June,Q2,Wednesday,23,0.22648822482573827,108.3880520424916,8.23365498281737,Up,3029.9571533203125,,3002.4324905016874,3029.9571533203125,3130.7598564052714,2929.1544502353536,40.302936903284824,20.23645713417136,30.866349099029463,-10.629891964858103,2507775.9
2025-06-05,3053.468191807066,3070.332700988586,2970.931348251763,3017.3583984375,3504632,0.0,0.0,2025,June,Q2,Thursday,23,-0.3864497329622463,107.96918670481041,-36.10979336956598,Down,3030.378759765625,,3003.854005543193,3030.378759765625,3130.8811860475357,2929.8763334837145,40.03810992308117,19.252669164945928,28.543613112212757,-9.290943947266829,2516812.8
2025-06-06,3017.358321442344,3088.089861448809,3002.8745876369358,3081.740966796875,2028071,0.0,0.0,2025,June,Q2,Friday,23,2.1337395117767555,110.27296790207497,64.38264535453118,Up,3036.549169921875,,3011.271811376877,3036.549169921875,3133.5184819949764,2939.579857848774,47.9682219994744,23.39842285687064,27.514575061144335,-4.116152204273696,2502773.75
2025-06-09,3105.0537862199794,3115.966115820114,3053.4682281102546,3062.793212890625,1364639,0.0,0.0,2025,June,Q2,Monday,24,-0.6148392778755896,109.59496638253387,-42.26057332935443,Down,3035.691064453125,,3016.1786115210434,3035.691064453125,3131.3377876520835,2940.0443412541663,52.470543461559195,24.8683700491124,26.98533405873795,-2.1169640096255513,2462669.2
2025-06-10,3077.277036693918,3082.137886779174,3035.413419449941,3043.052001953125,1787253,0.0,0.0,2025,June,Q2,Tuesday,24,-0.6445492583179835,108.88857283956142,-34.225034740793035,Down,3036.37060546875,,3018.7379820383844,3036.37060546875,3132.024081835543,2940.717129101957,47.56508375198564,24.161840395038325,26.420635325998028,-2.258794930959702,2417948.75
